,text_label
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",bullying
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",nonbullying
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",bullying
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",bullying
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",nonbullying
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",nonbullying
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",bullying
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",bullying
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",nonbullying
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",bullying
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",bullying
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",bullying
"""@BVSEDCHINK: Yo fuck skateboarding all y'all some wood pushing faggots man ball is life http://t.co/VBCzP6HMT7""@AmJemieBenn",bullying
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""Awwwwe! This is soooo ADORABLE!",nonbullying
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",bullying
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",bullying
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",bullying
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up a nigga had funnnnnnn !""",bullying
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",bullying
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bullying
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",bullying
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",bullying
"""@BlackNerdJade: Ok sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",bullying
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",bullying
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",bullying
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",bullying
"""@CASHandBOOBIES: I been kidnapped yo bitch""",bullying
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",bullying
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",bullying
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",bullying
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",bullying
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",bullying
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",bullying
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",bullying
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",bullying
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",bullying
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",bullying
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",bullying
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",bullying
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",bullying
"""@Coley_Cee: Let me make a couple tweets off cuzzo page so I won't get in twitter jail.""lmao bitch don't trick me again",bullying
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",bullying
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",bullying
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes idc &#128175;""",bullying
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""&#128533;",bullying
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",bullying
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",bullying
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",bullying
"""@DevilGrimz: @VigxRArts you're fucking gay blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",bullying
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",bullying
"""@Dietrich1892: Yall shut up:p"" make me bitch",bullying
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",bullying
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",bullying
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",nonbullying
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",bullying
"""@DreadheadAri: she really asked me that dead ass serious tho all i could say was ""bitch wheet"" LOL",bullying
"""@DunderbaIl: I'm an early bird and I'm a night owl so I'm wise and have worms.""",nonbullying
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",nonbullying
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;They *are* fairy tale creatures.",nonbullying
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag don't tweet ""aw"" to me lol",bullying
"""@FloKid88: As long as the Lakers trash from now on I could careless. And that's real."". CC: @BENBALLER hahaha",nonbullying
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",bullying
"""@FunnyPicsDepot: this the ""I play soccer cheat on girls and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",nonbullying
"""@G27Status: I could go for a fat ass bitch on my lap"" same",bullying
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",bullying
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",bullying
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",bullying
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",bullying
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",bullying
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",bullying
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",bullying
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",bullying
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",bullying
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",bullying
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",bullying
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",bullying
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah I throw no look passes lmao",bullying
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",bullying
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",nonbullying
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",bullying
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",bullying
"""@HoskinsTy96: White boy power bitch"" black power bitch",bullying
"""@Hudgens_11: Lets get drunk get blowed spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",bullying
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",bullying
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",bullying
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",bullying
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",bullying
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",nonbullying
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",bullying
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",bullying
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",bullying
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",bullying
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",bullying
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am you off a molly ho where the fuck ya seed at??"""" #fixed",bullying
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",bullying
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",bullying
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",nonbullying
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",bullying
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",bullying
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",bullying
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",bullying
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",bullying
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",nonbullying
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""Smfh &amp; wonder why nobody decent wants them",bullying
"""@LCisTJ: Bruh you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",bullying
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",bullying
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",bullying
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",bullying
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",bullying
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",bullying
"""@LiLFridayHOE: Easy cum easy hoe"" That's a fact !",bullying
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",bullying
"""@Lightskingawdd: Wish I had a bae &#128533;""You got all the hoes tho",bullying
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",bullying
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",bullying
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good man."" You are good ma'am. Move along now",bullying
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",bullying
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",bullying
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",nonbullying
"""@M_Rad: &#8220;@DezDLT: ""I play soccer cheat on girls and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",nonbullying
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",bullying
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv over Romo",bullying
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",bullying
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",bullying
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",nonbullying
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",nonbullying
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",nonbullying
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",bullying
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",nonbullying
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",bullying
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",bullying
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",bullying
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",bullying
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af wear tight shirts and grim everybody.",bullying
"""@MotherJones: 10 birds your grandkids may never see thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",nonbullying
"""@MvckFadden: ""Stay beautiful you bitch""""",bullying
"""@NICKIMINAJ: #WutKindar purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",bullying
"""@NastyCopper: Money getting taller and bitches getting blurry""",bullying
"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",bullying
"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",bullying
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""Lmfao",bullying
"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",bullying
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",bullying
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""that show was everything tf",nonbullying
"""@OfficialReplay: I am lowkey tired."" ...if you tired be quiet and go to sleep hoe!",bullying
"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",bullying
"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",bullying
"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",bullying
"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",bullying
"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",bullying
"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",bullying
"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beersPoff: ... Double pussy &#128526;"" smh",bullying
"""@Poobie_: When bitches TWERK on the computer....ME: ""In ya &#128089; in ya damn &#128089;&#8252;&#65039;""""",bullying
"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",bullying
"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",nonbullying
"""@QUAN1T0: These bitches don't care they just play that role.""",bullying
"""@Queen_Kaaat: It took a while for you to find me but I was hiding In the lime tree.""@Iemonaids dis bitch in da wrong tree bro.",bullying
"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",bullying
"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",nonbullying
"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",nonbullying
"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",bullying
"""@RenegadeMo: Fat hoes get chose"" lol",bullying
"""@RiahSM: #hoesaintloyal"" well they're hoes no one expects them to be loyal",bullying
"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG",bullying
"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",bullying
"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",bullying
"""@SamJLayman : Holy shit Freddie Highmore was in Charlie and the Chocolate Factory""Me: *rolls on the floor laughing*",bullying
"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",bullying
"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody bitch if you don't",bullying
"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",bullying
"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",bullying
"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real",bullying
"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one.""",bullying
"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",bullying
"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",bullying
"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",bullying
"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",bullying
"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",bullying
"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",nonbullying
"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch",nonbullying
"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",bullying
"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad",nonbullying
"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;""",bullying
"""@SukMySweetness: money only impress the simple broke bitches""",bullying
"""@Sylvieamx: #Pisces will never be anybody's bitch they don't let people control or change them."" Rigghhht",bullying
"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",nonbullying
"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",nonbullying
"""@TayKnosBest: These hoes is crazy""",bullying
"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:",bullying
"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her don't be no bitch.",bullying
"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",bullying
"""@TheNewSAT: #NewSATQuestionsYeah bitch yeah bitch call me _______:a.) Maybeb.) Steve-Oc.) Laterd.) Jesse Pinkman""@machinegunkelly",bullying
"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",bullying
"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",bullying
"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming",bullying
"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH",bullying
"""@The_Realist_Sam: @Madrid2_ yea I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5",bullying
"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it",nonbullying
"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",bullying
"""@TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test drops test in that bitch fohead* http://t.co/nb5VgdssgI",bullying
"""@Thornton25: &#8220;@KantKeepAhBYTCH: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever.",bullying
"""@Tmacc_GFG: &#8220;@VoiceOfDStreetz: ""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;",bullying
"""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;",bullying
"""@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout",bullying
"""@TreLeKidd: Yo bitch is Gucci Mane RT @JabariTheGreat : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",bullying
"""@TweetGameLazy: I can ride your bitch with no handle bars""",bullying
"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee""",bullying
