tweet,text_label
almightywayne__: jetsandaswisher gook____ bitch fuck u http://tco/pxmganc maybe youll get better just http://tco/tprevwfqs,bullying
almightywayne__: fuck red malone man bitch ass niggah could you please use complete sentences,bullying
arizonasfinest: why the eggplant emoji doey he say she looked like scream lmao,nonbullying
autoworid: hennessey venom gt &; http://tco/iegmnkaj thats one sexy bitch,bullying
bossbytchh: him seh me pussy wetter then a shower curtainahmesehwetness&lt;lmao,bullying
bro_hen: eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,bullying
bvsedchink: yo fuck skateboarding all yall some wood pushing faggots man ball is life http://tco/vbczphmtamjemiebenn,bullying
babyanimalpics: baby monkey bathtime http://tco/kpwadlfrawwwwe this is soooo adorable,nonbullying
baylaagottabody: &;&;&;&; i aint shit  damn skippy lol,bullying
beeasyjrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b &gt;chance,bullying
beenbasedb: _kudabrazyy http://tco/luubglyu  rings  mvps  bitches lol,bullying
beenflynsolo: ppl talk bad about the ghetto/hood  but as a kid growing up a nigga had funnnnnnn ,bullying
bestproadvice: the facts on tattoostattoo http://tco/zwnbhpdze hes a pussy with not tattooing them nipples,bullying
bill_: &;&;&; rt nel_ayden bitches be wanting to act like niggas so bad &;&;&; that shit aint cuteeeee but niggas act like bitches,bullying
bitchjones: get worshiping bitch http://tco/rcejcjou woof woof,bullying
blackchiquitita: wow rt thatmanpalmer im lost are those buttcheek piercings http://tco/ynguyouq yeah shes a hoe,bullying
blacknerdjade: ok sis shed rather be a broke bitch *shrugs* shell have to tell me how it works for her,bullying
blackmantide: whalelookyhere howdydowdy queer gaywad,bullying
brokenpiecesmsc: itsnotadam faggot read my tweets after dat k it wasnt even funny lol,bullying
brosconfessions: this bitch was so ungrateful http://tco/ebgwbx fr  lulwhore,bullying
cashandboobies: i been kidnapped yo bitch,bullying
cb_baby: white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican,bullying
ccobey: aydanmccoy happy birthday nigs thanks yo,bullying
chlldhoodruiner: when ur teacher tells u that u have homework https://tco/rkkvawij this bitch need to go,bullying
caelang: edham: caelang that nigga was eating that hoe lol hell yea lol john paul nigga said john paul http://tco/osipbkprh,bullying
canifuckornah: what would yall lil ugly bald headed bitches do if they stop making makeup &amp; weave,bullying
carelessone: leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,bullying
causewereguys: going back to school sucks more dick than the hoes who attend it,bullying
causewereguys: on my way to fuck yo bitch http://tco/jtzer me as a  year old,bullying
celeynichole: white_thunduh how come you never bring me food i dont have a car retard,bullying
chadmfverbeck: if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like  prople,bullying
chandlerparsons: how bout them cowboys shutup pussy,bullying
clicquotsuave: lmaooooooooooo this nigga krillz_nuh_care http://tco/aanpsujmyi &lt;bitch want likes for some depressing shitfoh,bullying
coley_cee: lil_aerii girl you know i was spitting that g shit to you &amp; you was going lbvsbitch plz,bullying
coley_cee: let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again,bullying
comedyposts: harlem shake is just an excuse to go full retard for  seconds,bullying
comedytruth: amen miley &; http://tco/pkbtfyxrokay but she dont need to act like a hoe just bc shes emotionally damaged foh,bullying
corybandz: having one loyal female is wayyyyy better than having hoes idc &;,bullying
crhedrys: pussy licking pussy meow meow stopwhitepeople &; https://tco/keegdcjsk&;&;,bullying
dbab_holloway: check out our th man cowboysnation even with all those faggot ny fans in the stands,bullying
dgotbricks: what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,bullying
daedavidavie: white_thunduh im the bitch okay nudes pat &;&;&; wow,bullying
devilgrimz: vigxrarts youre fucking gay blacklisted hoe holding out for tehgodclan anyway http://tco/xuccwoetmn,bullying
diamondloudkush: the fuck be wrong with these bitches nobody knows,bullying
dietrich: yall shut up:p make me bitch,bullying
dionairish: i hate a im pregnant type of bitch,bullying
doyou_q: got bitches in the dm but i dont ever readem which is y your top ,bullying
domworldpeace: baseball season for the win yankees this is where the love started,nonbullying
dommoneek: little stupid as bitch i dont fuck with yoooooouuuu,bullying
dreadheadari: she really asked me that dead ass serious tho all i could say was bitch wheet lol,bullying
dunderbail: im an early bird and im a night owl so im wise and have worms,nonbullying
edgarpixar: overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day,nonbullying
el_grillo: pit bulls photographed as lovely fairy tale creatures http://tco/qsmoolh&;they *are* fairy tale creatures,nonbullying
ferocious_ghost: stname_bravo aw fag dont tweet aw to me lol,bullying
flokid: as long as the lakers trash from now on i could careless and thats real cc: benballer hahaha,nonbullying
frosstyy_: hrheyd i didnt say anything tho kiss me then faggot,bullying
funnypicsdepot: this the i play soccer cheat on girls and wear khaki coloured cargos haircut http://tco/zuaiqwbir &; yup,nonbullying
gstatus: i could go for a fat ass bitch on my lap same,bullying
gedmelle:  missed calls &;&;das yo po bitch twitter finna be screamn freemoneymelle,bullying
gtm_al: ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao &;&;&;&;,bullying
gagatom: &;malefoot:  | amo los pies http://tco/qehdkki&; fuck yeah,bullying
girlthatsvonte: these hoes be thinking meat wont slap they ass &;&; ainna bruh,bullying
girlthatsvonte: yall bitches wit no edges be doing the most talking &;&;&;&;&;&;,bullying
girlthatsvonte: yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit,bullying
girllssues: i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,bullying
gizzy_jones: if she kiss u with her eyes open watch that bitchlmfao,bullying
goofstroop: you a woulda coulda shoulda ass hoe &;&;,bullying
gotti_ltf: happy bday bitch ass nigga jetsandaswisherpreciate that bitch roll up,bullying
hbmostdope: jayee pipinhoes used to send that bitch up,bullying
hbmostdope: ugly bitches be like im my own wcw duh bitch you aint nobody elses&;&;,bullying
halotgmg: stname_bravo nigga you know we hacky sack hoes nah i throw no look passes lmao,bullying
heartlessfuck: glad im getting outta atlanta nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em,bullying
hermosaalma: this isnt ghettoits smart https://tco/mpazqjswf im doing this idc,nonbullying
hiimjorib: i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,bullying
hornyfacts: being single isnt an excuse to be a hoe theonemiss_luu,bullying
hoskinsty: white boy power bitch black power bitch,bullying
hudgens_: lets get drunk get blowed spit shit spark blunts &amp; fuck hoes bro white dudes have no chill,bullying
iscoutgirls: verbally_abrupt bitch where u been around the world and back where you been,bullying
itsyahboiray: anelylove if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off &;&;&;&; *by anelylove *,bullying
itsyesie: oomf is soooo cute but he probably has hoes on him a lot,bullying
jayten: in every cartoon theirs alway a _nuffsaid saving these hoes lmao http://tco/ukdwtzx lmao damn captain saveahoe,bullying
jreebo: who wants to get there nose in these bad bois then scally chav sockfetish stinking http://tco/feqxgnwi hot sox and legs,nonbullying
jamesynba: i wish i was a bitch like my brother keezy &; ooooow i bet you do,bullying
jasminepore: if you dressed up as a cat for halloween you are basic or a pussy,bullying
jewelxo: can pornhub just get a gaming stream feature so these dumb bitches can gtfo pornhub get on it katie&lt;,bullying
joebudden: stop being scared to choke her during sex u bitch ass niggas she&;ll like it says the guy who hits women out of bed foh,bullying
johnnyperez: white_thunduh ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,bullying
kazatta: takehov oh man its  am you off a molly ho where the fuck ya seed at fixed,bullying
kelsiebelsi: youre not a man if you refer to every girl as a bitch,bullying
keyshawnswag: lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,bullying
keyshawnswag: peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,nonbullying
kingcuh: stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,bullying
kinghendo: vondreaam naw its my old tape new cover  my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne,bullying
kingteej_: ol dirty foot ass bitches this was too funny to me,bullying
king_shawn_: white_thunduh thats where i get my yellow flags for being amazing &;&; hell yeah niggy,bullying
kissmysmilee: dont got time for bitches to be actin iffy,bullying
knightfanneal ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,nonbullying
kyranadiya_: these hoes aint loyal ; no they aint http://tco/hubsvbkglsmfh &amp; wonder why nobody decent wants them,bullying
lcistj: bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,bullying
lodycash: dry pussy bitches always blame it on the condom&;&;&;&;&;,bullying
lunaraps: shut yo bitch ass up https://tco/iemnugm &;&;,bullying
laflaregodjosh: gucci mane in jail and dropping mixtapes every month and you hoes cant even text back,bullying
latrobemark: you love these hoes more then money wats wrong these niggas,bullying
lebronvuitton: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,bullying
lilfridayhoe: easy cum easy hoe thats a fact ,bullying
lifeasbros: charlie sheen is too real http://tco/gggdkkov major fucking respect for charlie sheen,bullying
lightskingawdd: wish i had a bae &;you got all the hoes tho,bullying
lil_mike_: fuck twerking bitch can you cook ,bullying
linniekravitz: wesgodlaflare bitch wtf http://tco/dasmycxodb,bullying
lipe_the_great: &;hrheyd: lipe_the_great: shut up zoe fight me pussy&; for zoe im good man you are good maam move along now,bullying
lolaaisdope: lmao fucking snake bitches  em,bullying
loveable_aizah: big booty hoes everywhere sheesh &; damn &;&;&;,bullying
mlbnetwork: stay tuned to mlbnetwork for an update on the report that yankees b teixeiramark will be out  weeks dliming bum,nonbullying
m_rad: &;dezdlt: i play soccer cheat on girls and wear khaki coloured cargos haircut http://tco/tycihdpkw&; yes lmfaosoccerboy_,nonbullying
madflyentist: oregon chokes every year get off the field trash ass program rft,bullying
mannydiesel: def not cowboy lol rt artoffloyd: terrell owens was the best eagle &amp; cowboy ever dude cried like a bitch on tv over romo,bullying
markroundtreejr: lmfaoooo i hate black people https://tco/rnvdnlcdr this is why theres black people and niggers,bullying
master_: tolife_ gabrielastarr how could u do this to me bitch potent,bullying
maxmayo: http://tco/jkkrx a pissed lad past out i would lick his dirty soles while he slept,nonbullying
maxmayo: http://tco/prrskknqrv love frat boy w/ soft long soles,nonbullying
maxmayo: http://tco/xpscmakgj sexy lad with hot soles and arches,nonbullying
megamindnick: white_thunduh nah fam i gotta cheat with the hoes depends on the female i feel,bullying
mesha_nojas: _vontethekidd &;&;&;&;&; i got hicks lol,nonbullying
migsmichelen: this new twitter is confusing the shit out of me go back to south america bitch,bullying
miikito_x: toto means ass or vaginai think pussy cause toto santi is like nasty pussy,bullying
mikelahenry: but what if he actually does choose the ugly bitch over you &;her ass must be fat,bullying
mileycyrus: bitch couldnt kill my vibe if ya tried &;&;&; dis why i love miley :*,bullying
montrell_: im tired of bitches saying i look mean &; nigga you big af wear tight shirts and grim everybody,bullying
motherjones:  birds your grandkids may never see thanks to climate change http://tco/xqmxhkaswt http://tco/rbitegrnhm climate,nonbullying
mvckfadden: stay beautiful you bitch,bullying
nickiminaj: wutkindar purple ceeeleeeman this gurl was jus playin on the stupid hoe  track but in still shitted on sum gurls,bullying
nastycopper: money getting taller and bitches getting blurry,bullying
newsomejade: i aint never seen a bitch so obsessed with they nigga&; im obsessed with mine &;,bullying
nicholas_ted: kobe stay talking trash but lets not forget http://tco/vhtnekvtp j_austin i meant to do this one smh,bullying
nochillpaz: at least im not a nigger http://tco/rgjacfoitlmfao,bullying
no_fakingg: people always asking me what im mixed with she a bad asian bitch lol,bullying
notoriousbm: _whiteponyjr_ ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,bullying
osay_it_aint_so: &;ignorealllaws: fosters home for imaginary trash&; whoa chillthat show was everything tf,nonbullying
officialreplay: i am lowkey tired if you tired be quiet and go to sleep hoe,bullying
prayingforhead: &;macklemroe: stop bringing weird niggers into my mentions prayingforhead&; http://tco/cussdjesrk,bullying
prettyboss_brat: we dont love these hoes &;&;,bullying
patrickquelo: if yo girl cant have homeboys you a ol weak bitch ass nigga,bullying
patsfanjoe: d_palomino i think worst advice i gave you was  dont be a pussy and speed up lol,bullying
poemsporn: quote this tweet with your favorite animalpussy,bullying
poetic_success: i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper,bullying
poffalicious: andrewbryant: poff has double vision after  beerspoff:  double pussy &; smh,bullying
poobie_: when bitches twerk on the computerme: in ya &; in ya damn &;&;&;,bullying
prodsjewel_: &;sreadthepeace: &;yungmindless: peacepunkprince prince this is art http://tco/ephrwxmbhr&; nobody takin his bitch,bullying
quant:  of welfare/government aid is claimed by white people so yall black slander is trash now,nonbullying
quant: these bitches dont care they just play that role,bullying
queen_kaaat: it took a while for you to find me but i was hiding in the lime treeiemonaids dis bitch in da wrong tree bro,bullying
rtnba: drakes new shoes that will be released by nike/jordan yes theres glitter on the shoes http://tco/qctplxhexm dudes a fag,bullying
rachiesoul: dizzleofficial inna di ghetto you alone lmaoo,nonbullying
ramboutit: &;master_: tolife_ ramboutit hoes austin&; teach us austini teach u how to get curved thats all i know,nonbullying
reachtheeclimax: bitches cant cook but know how to suck dick  s/o to the ones that can do both,bullying
renegademo: fat hoes get chose lol,bullying
riahsm: hoesaintloyal well theyre hoes no one expects them to be loyal,bullying
rishaawilliams: treshon_scrooge _nevertrustt ol bitch ass http://tco/amcoinywg,bullying
rnadjorell: bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo,bullying
sactownprodigy: just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you,bullying
samjlayman : holy shit freddie highmore was in charlie and the chocolate factoryme: *rolls on the floor laughing*,bullying
samirahusic_: i dont want to have sex with my gf because i feel like im using her  anonymous whata faggot,bullying
sexualgxfs:  one of your followers with this &;&; http://tco/ftjlxnct  somebody bitch if you dont,bullying
shaa_jenkins: if ya bitch always bitching clearly she care or just an annoying bitch,bullying
shantaughther: these catfish hoes thinkin they slick but niggas catching on &;,bullying
shewenttojordan: cant worry about a bitch that aint worried bout me real,bullying
showarrive: side hoes are for insecure niggas that cant handle a real one,bullying
shun_stokes: &;&;&;&;rt bluprint_: lmao this bitch come scooting in the tent like she about to fuck some shit up &;&;&;,bullying
shun_stokes: my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers &;,bullying
slimgirl_probz: im hungry but ionn wanna spend my money on food&;broke hoe problems &;&;&;&;,bullying
smeegbaby: dese hoes be lyin to all of us nigga,bullying
snakecharmsdump: http://tco/bdqzcv oh yeah fuck that bitch,bullying
sportscenter: eli manning just threw his nflleading th interception of the season lmao trash,nonbullying
sportscenter: usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team &; http://tco/joosdsubir hes a bitch,nonbullying
stellatex: guess what i also have zero time for your mansplaining adios stfu pussy,bullying
stephenwildboy: chilling &;&; http://tco/mikipnle sexy scally lad,nonbullying
strap__: i aint sharing no bitch if you mines you mines &;,bullying
sukmysweetness: money only impress the simple broke bitches,bullying
sylvieamx: pisces will never be anybodys bitch they dont let people control or change them rigghhht,bullying
tee_jonez: stanleys kingcuh tuku ho idk blah blah blah &;&;&;,nonbullying
tee_jonez: kingcuh stanleys im not mad cuh hahaha suure tuku ho ita &;&;,nonbullying
tayknosbest: these hoes is crazy,bullying
taylorr_babee: you aint ever gonna be a slice bitch kevin hart (:,bullying
thatniggatroy: oomf so fuckin fine tho &; dam  her dont be no bitch,bullying
thegamerkingkev: i wonder if the girl that gave head to  boys for a drink in magaluf has twitter she probly sends nudes for fags,bullying
thenewsat: newsatquestionsyeah bitch yeah bitch call me _______:a) maybeb) steveoc) laterd) jesse pinkmanmachinegunkelly,bullying
thenymphotweets: hickies in between her thighs right by her pussy &gt;&gt;&gt; its only right,bullying
theonemiss_luu: would you still love me when im no longer young and beautiful no ugly monkey ass,bullying
therealrickyb: jetsandaswisher gook____ yall come through the frontbitch i aint coming,bullying
therealrickyb: jetsandaswisher faggot bitch http://tco/hyyabkeh,bullying
the_realist_sam: madrid_ yea im on my ipad i dont work this friday lets ball this faggot up tropicalblanketi work ,bullying
theo: http://tco/byjhoyhmg this scally lad would get it,nonbullying
theomaxximus: gerryshalloweenparty http://tco/ycrsrnjhc halloween was yesterday stupid nigger,bullying
theomaxximus: chrus still supahot tho *walks up to teacher with test drops test in that bitch fohead* http://tco/nbvgdssgi,bullying
thornton: &;kantkeepahbytch: i love eating pussy lol i never get full lol&; i can eat that shit forever lol and ever,bullying
tmacc_gfg: &;voiceofdstreetz: tmacc_gfg: &;tizzimarie: no slushes &;&;hoes nasty anyway fam&;&;them hoes taste like meds&;&;&;,bullying
tmacc_gfg: &;tizzimarie: no slushes &;&;hoes nasty anyway fam&;,bullying
tmacc_gfg: bobby bitchby bobbyshmurdags be getting me live as fuck hell yea i play that hoe before my workout,bullying
trelekidd: yo bitch is gucci mane rt jabarithegreat : my bitch a stoner &;&; http://tco/ltlijjpg&;&;&;&;&;&;,bullying
tweetgamelazy: i can ride your bitch with no handle bars,bullying
tyjoncuffee: and if you aint a hoe get up out my traphoussseeeee,bullying
uberfacts:  sad tv character deaths were still bitter over http://tco/ulclfufnc http://tco/rxyqoosmned stark was the man,nonbullying
unholy_jack: these harbor bitches are all party bus hoes lol all,bullying
vbomb: woodchuck pussy love it,bullying
veronikahumbert: ultraviolence video its coming you little bitch mtvhottest lana del rey http://tco/flbvwqh bitchy promo,bullying
vineforthebyrd: on my way to fuck your bitch https://tco/lmtfnliylmfao kittycopter,bullying
wbur: a smuggler explains how he helped fighters along the jihadi highway: http://tco/uxanxeawd,nonbullying
wbeezy_: quathegreat: aww their avis look so cute together &; http://tco/lporcbw &;&;&; do i gotta get ike avi on this bitch ,bullying
wbeezy_: run_drc: its simple dont be a hoe=dont worry about being exposed &; fight mewhy ,bullying
wannabekanye: whys this bitch boosting herself http://tco/uodfwtkvher size isnt exactly the most healthy tho,bullying
withaprettyface: _nonlykeisha bet not be no bitches &;&;&;&;&; &;&; kim bye,bullying
x_xpdotjdot: damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco,bullying
xojennygirl: im making marack my girlfriend  marackaf aye b you pullin hoes just like o taught you,bullying
xoxo__angiee: bruno fag boy you love me,bullying
yehits_von: &;run_drc: i must be a bitch&; you are &;&;&; sike naw this why we always beefing &;,bullying
yankees: down  yankees look to rally in the bottom of the th rallycap,nonbullying
youngricooo: &;wexicanafro: dont take advantage of a nice person&; hoes everyjuan,bullying
youngricooo: happy birthday bitch nigga wexicanafro thanks pal,bullying
youngricooo: sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday,bullying
yungmigo: shane_a cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,bullying
zoebarton: hrheyd ewww i said that last sundayas in the last sunday i was there read it again nigs&;&;&;&;&;,bullying
_bada_bing: i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake,bullying
_beedontcare my pussy still fresh &lt; something stank girls say,bullying
_geewillikers_: ass slapping is one the greatest things haha &; i slapped a girl on the ass  she got mad i aint get pussy for a week,bullying
_tommycollins: wearerichnow buffalobills yeah texans are so much better you fucking retard i see that youre mad about this,bullying
__malibubarbie: nd wtf is up with dark bitches with blonde please have several seats hoe looking like black&amp;milds out here,bullying
__sugga: theres a lane some bitches need to stay in &; the left n get right the fuck outta our face &;&;&;,bullying
__sneakyb: i hate when boys deny that they have bitches &;&; smh,bullying
__taradise__: ya nigs out there still saying yall dont eat butt with a straight face,bullying
__yourewelcome: im a boss ass bitch that needs to sit in a corner,bullying
_iwantfranny: hes a hoe i cant,bullying
_prettyflvck: me and paul thinkin bout gettin rentals for da weekend &;&;&;oooh shit bitches betta stay out da streets,bullying
_rapdreams: bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story &;,bullying
_simplycaitlin: why do my friends hate me because you a ratchet hoe,bullying
adriwadrri: no love for these fuck niggas hoes*,bullying
airmaxlad: hot meat http://tco/brzimkvk sexy as fuck scally lad i would love to meet him and his trainers,bullying
airmaxlad: sniff http://tco/fhhbbrmybn perved up scally lad fuck yeah,bullying
alejandra_p: these bitches love sosa,bullying
alexissixela__: &;white_thunduh: i legit watched it for about  or  seconds &;&;so did i wtf prob cause were retarded smh,bullying
allisonnamaya_: what should i name my cat ideas mr pussy,bullying
altosteel: http://tco/tmmhxg woof woof sexy thug boy scally,bullying
ambitiousbree: _nonlykeisha u see the damn phone ringing &;&;&; when you married bitches makes demands you havent called me,bullying
analicialouise: tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe,bullying
angelenagoley:  sex positions http://tco/ntpabmwsm http://tco/jmhzsczfnaw this what u call fucking the soul outta bitch &;,bullying
ashlingwilde: itsnotadam is bored supposed to be cute you faggot sometimes,bullying
ayyee_ceee_: one mans trash &; is another mans treasure &;,nonbullying
babineaux_: i dont got no type bad bitches is the only thing i like *iongotnotype,bullying
bigbootybishopp: white_thunduh lassen cc the coach wants me i feel it youll get more my nig no doubt,bullying
bleedingtrap: god teeth gold chainwhite bitches cocaine,bullying
cheetahbluntz_: its me hoe its me hoe&; shhhhh,bullying
chieflottahoes: in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe,bullying
clayton_jenn: im gonna miss that bitch of a bus driverno you wont dont lie,bullying
coltfortygone: hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone &;&;&; on my soul,bullying
complex_uk: ashley young has tried to deny that bird s*** landed in his mouth &gt; http://tco/mlrewgonk https://tco/avchfjrem hahaha,nonbullying
datfullerkid: trevaughnlg yall both gimped up aint tht a bitch huh lol,bullying
deepthroatmike: boys_south: take me for a ride &;&; http://tco/hmatjyfgaredneck woof woof,nonbullying
demi_eggleton: oh my god i love victoria mitchell all my bitches love me,bullying
djsliime: that long distance shit wack i knew the bitch was cheating uh oh,bullying
fiirting: hes doing it right &;&;&; http://tco/jzkkivuvjc no bitches smh,bullying
fatboyswagg: they ban dat pussy for life &amp; he gotta pay  millon dollar fine,bullying
fuckcamoclark: roses are red and violets are blue and niggers are black you know thats true dylan,bullying
grillaze: sitting on my window sill window open bird tries to fly in smacked it protecttheanimals peta,nonbullying
glowstruck: but a nigga gon be a nigga be a nigga you sound fuckin retarded,bullying
greggutfeld: a video an entire media will likely mock http://tco/xfrcrxwsm i am such a crybaby,nonbullying
gurl_im_angie: itskiaraaaa westyourmajesty im not even shy stfu kikis mom: hi angelique angelique: smiles *dips cracker in soup*,bullying
haitian__gold: tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh &;&;&;&;,bullying
hazelebaby: karma is a bitch damn godprotectshisangels &;*sips tea*,bullying
hornyjhb: fuckin hot gym pussy http://tco/zvymcxquta fuck yeah,bullying
hxhassan: jihadi patron hajjaj alajmi is arrested at kuwait airport https://tco/zmlokfwdql,nonbullying
iampickuplines: you can call me fireman cause i turn the hoes on,bullying
icrawley: i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god,bullying
idntwearcondoms: watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that,bullying
ilgdaily: and smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded,bullying
itrapwatermelon: tweety bird tho &;&;&;&;https://tco/jbnonmnp,nonbullying
irlfatty: my pussy sweet like watermelon http://tco/sklphttogthotermelon,bullying
itscoleharmon_: when twitter rappers dm me their trash links http://tco/nmrauqg,nonbullying
jsadass: loud bitches annoy me,bullying
jacaxeltlu: eventually every bitch turns into that hoe  truuu,bullying
